SKU,Source,Title,Description,Price,Number of Reviews and rating
17887806021,Walmart,Disney Pixar Cars Lightning McQueen Toddler Boys 3 Pack T-Shirts Infant to Little Kid,Walmart Product,$6.98,"Rating: 4.8, Reviews: 117"
17912069471,Walmart,Inktastic Happy Valentine's Day Train Boys or Girls Toddler T-Shirt,Walmart Product,$5.48,"Rating: 4.9, Reviews: 133"
17541659149,Walmart,"Strawberry Shortcake Toddler Girls Chenille Sweater, Sizes 12 Months - 5T",Walmart Product,$6.98,"Rating: 4.8, Reviews: 180"
17986513126,Walmart,Disney Minnie Mouse Girls Sherpa Zip-Up Hoodie Graphic Print Design Hooded Sweatshirt for Kids (Sizes 4-6),Walmart Product,$13.98,"Rating: 4.4, Reviews: 20"
17751050280,Walmart,"Kensie Girl Sequin Mesh Short Sleeve Red Dress, Sizes 4-16",Walmart Product,$6.48,"Rating: 4.9, Reviews: 15"
17756953951,Walmart,"BTween Girls Long Sleeve Dresses, 3 Pack Soft Cotton Casual Dresses for Kids Mauve, Size 10/12",Walmart Product,$10.00,"Rating: 4.6, Reviews: 19"
17559219024,Walmart,"Celebrity Pink Women's Zip Front Hoodie, Sizes XS-4X",Walmart Product,$16.00,"Rating: 4.5, Reviews: 13"
17970760538,Walmart,Twczz Girls St Patricks Day Shirts- Casual Long Sleeve Cute Soft Kids Luck Tops Mint Green Size 4-14,Walmart Product,$6.98,"Rating: 4.9, Reviews: 13"
17806956215,Walmart,Heart Sweater for Women Valentine's Day Cute Heart Printed Lightweight Sweaters Casual Creneck Pullover Shermie,Walmart Product,$17.98,"Rating: 4.4, Reviews: 33"
17568056423,Walmart,Angel Face Girls Pajama Set - 4 Piece Soft Poly Sleep Shirt and Pajama Pants for Girls (7-12),Walmart Product,$13.98,"Rating: 4.6, Reviews: 22"
849048709,Walmart,Fdqin Girls Fall Outfits 4 Pcs Hoodies for Teen Girls Long Sleeve Crop Sweatshirt Top and Jogging Sweat Pants Set Pink Beige 9-10 Years,Walmart Product,$17.88,"Rating: 4.7, Reviews: 390"
16440204677,Walmart,Oudiya Girls Contrast Mesh Short Sleeve A Line Party Dresses Black Formal Dress with Pockets for Tween 5-12Y,Walmart Product,$10.00,"Rating: 4.3, Reviews: 29"
17616818606,Walmart,"Wonder Nation Girls Mesh Tutu Dress with Short Sleeves, Sizes 4-18 & Plus",Walmart Product,$12.98,"Rating: 4.3, Reviews: 15"
1941988539,Walmart,"BTween Girls 3 Piece Long Sleeve Crew Neck Pullovers, Fleece Sweatshirt for Youth Kids, CHARC,7",Walmart Product,$10.40,"Rating: 4.7, Reviews: 6"
